insectID,plant,instar,day,status
21,TOH,1st instar,7,0
22,TOH,1st instar,7,0
23,TOH,1st instar,7,0
24,TOH,1st instar,7,1
25,TOH,1st instar,7,1
26,TOH,1st instar,7,1
27,TOH,1st instar,7,1
28,TOH,1st instar,7,1
29,TOH,1st instar,7,1
30,TOH,1st instar,7,1
1,TOH,1st instar,14,0
2,TOH,1st instar,14,0
3,TOH,1st instar,14,0
4,TOH,1st instar,14,0
5,TOH,1st instar,14,0
6,TOH,1st instar,14,0
7,TOH,1st instar,14,0
8,TOH,2nd instar,14,0
9,TOH,2nd instar,14,0
10,TOH,2nd instar,14,0
11,TOH,2nd instar,14,0
12,TOH,2nd instar,14,0
13,TOH,2nd instar,14,0
14,TOH,2nd instar,14,0
15,TOH,2nd instar,14,0
16,TOH,2nd instar,14,0
17,TOH,2nd instar,14,0
18,TOH,2nd instar,14,0
19,TOH,2nd instar,14,0
20,TOH,2nd instar,14,0
21,TOH,2nd instar,14,0
22,TOH,2nd instar,14,0
23,TOH,1st instar,14,1
24,TOH,1st instar,14,1
25,TOH,1st instar,14,1
26,TOH,1st instar,14,1
27,TOH,1st instar,14,1
28,TOH,1st instar,14,1
29,TOH,1st instar,14,1
30,TOH,1st instar,14,1
1,TOH,2nd instar,21,0
2,TOH,2nd instar,21,0
3,TOH,2nd instar,21,0
4,TOH,2nd instar,21,0
5,TOH,2nd instar,21,0
6,TOH,2nd instar,21,0
7,TOH,2nd instar,21,0
8,TOH,2nd instar,21,0
9,TOH,2nd instar,21,0
10,TOH,2nd instar,21,0
11,TOH,2nd instar,21,0
12,TOH,2nd instar,21,0
13,TOH,2nd instar,21,0
14,TOH,2nd instar,21,0
15,TOH,2nd instar,21,0
16,TOH,2nd instar,21,0
17,TOH,2nd instar,21,0
18,TOH,2nd instar,21,0
19,TOH,2nd instar,21,0
20,TOH,2nd instar,21,0
21,TOH,2nd instar,21,0
22,TOH,2nd instar,21,0
23,TOH,1st instar,21,1
24,TOH,1st instar,21,1
25,TOH,1st instar,21,1
26,TOH,1st instar,21,1
27,TOH,1st instar,21,1
28,TOH,1st instar,21,1
29,TOH,1st instar,21,1
30,TOH,1st instar,21,1
1,TOH,2nd instar,28,0
2,TOH,2nd instar,28,0
3,TOH,2nd instar,28,0
4,TOH,2nd instar,28,0
5,TOH,2nd instar,28,0
6,TOH,2nd instar,28,0
7,TOH,2nd instar,28,0
8,TOH,2nd instar,28,0
9,TOH,2nd instar,28,0
10,TOH,2nd instar,28,0
11,TOH,2nd instar,28,0
12,TOH,2nd instar,28,0
13,TOH,2nd instar,28,0
14,TOH,2nd instar,28,0
15,TOH,2nd instar,28,0
16,TOH,2nd instar,28,0
17,TOH,2nd instar,28,0
18,TOH,2nd instar,28,0
19,TOH,2nd instar,28,0
20,TOH,2nd instar,28,0
21,TOH,2nd instar,28,0
22,TOH,2nd instar,28,0
23,TOH,1st instar,28,1
24,TOH,1st instar,28,1
25,TOH,1st instar,28,1
26,TOH,1st instar,28,1
27,TOH,1st instar,28,1
28,TOH,1st instar,28,1
29,TOH,1st instar,28,1
30,TOH,1st instar,28,1
1,TOH,2nd instar,35,0
2,TOH,2nd instar,35,0
3,TOH,2nd instar,35,0
4,TOH,2nd instar,35,0
5,TOH,2nd instar,35,0
6,TOH,2nd instar,35,0
7,TOH,2nd instar,35,0
8,TOH,2nd instar,35,0
9,TOH,2nd instar,35,0
10,TOH,2nd instar,35,0
11,TOH,2nd instar,35,0
12,TOH,2nd instar,35,0
13,TOH,2nd instar,35,0
14,TOH,2nd instar,35,0
15,TOH,2nd instar,35,0
16,TOH,2nd instar,35,0
17,TOH,2nd instar,35,0
18,TOH,2nd instar,35,0
19,TOH,2nd instar,35,0
20,TOH,2nd instar,35,0
21,TOH,2nd instar,35,0
22,TOH,2nd instar,35,0
23,TOH,1st instar,35,1
24,TOH,1st instar,35,1
25,TOH,1st instar,35,1
26,TOH,1st instar,35,1
27,TOH,1st instar,35,1
28,TOH,1st instar,35,1
29,TOH,1st instar,35,1
30,TOH,1st instar,35,1
1,TOH,3rd instar,42,0
2,TOH,3rd instar,42,0
3,TOH,3rd instar,42,0
4,TOH,3rd instar,42,0
5,TOH,3rd instar,42,0
6,TOH,3rd instar,42,0
7,TOH,3rd instar,42,0
8,TOH,3rd instar,42,0
9,TOH,3rd instar,42,0
10,TOH,3rd instar,42,0
11,TOH,3rd instar,42,0
12,TOH,4th instar,42,0
13,TOH,4th instar,42,0
14,TOH,4th instar,42,0
15,TOH,4th instar,42,0
16,TOH,4th instar,42,0
17,TOH,4th instar,42,0
18,TOH,4th instar,42,0
19,TOH,4th instar,42,0
20,TOH,4th instar,42,0
21,TOH,4th instar,42,0
22,TOH,4th instar,42,0
23,TOH,1st instar,42,1
24,TOH,1st instar,42,1
25,TOH,1st instar,42,1
26,TOH,1st instar,42,1
27,TOH,1st instar,42,1
28,TOH,1st instar,42,1
29,TOH,1st instar,42,1
30,TOH,1st instar,42,1
1,TOH,3rd instar,49,0
2,TOH,3rd instar,49,0
3,TOH,3rd instar,49,0
4,TOH,3rd instar,49,0
5,TOH,3rd instar,49,0
6,TOH,4th instar,49,0
7,TOH,4th instar,49,0
8,TOH,4th instar,49,0
9,TOH,4th instar,49,0
10,TOH,4th instar,49,0
11,TOH,unknown,49,1
12,TOH,unknown,49,1
13,TOH,unknown,49,1
14,TOH,unknown,49,1
15,TOH,unknown,49,1
16,TOH,unknown,49,1
17,TOH,unknown,49,1
18,TOH,unknown,49,1
19,TOH,unknown,49,1
20,TOH,unknown,49,1
21,TOH,unknown,49,1
22,TOH,unknown,49,1
23,TOH,1st instar,49,1
24,TOH,1st instar,49,1
25,TOH,1st instar,49,1
26,TOH,1st instar,49,1
27,TOH,1st instar,49,1
28,TOH,1st instar,49,1
29,TOH,1st instar,49,1
30,TOH,1st instar,49,1
1,TOH,3rd instar,56,0
2,TOH,3rd instar,56,0
3,TOH,3rd instar,56,0
4,TOH,3rd instar,56,0
5,TOH,3rd instar,56,0
6,TOH,4th instar,56,0
7,TOH,4th instar,56,0
8,TOH,4th instar,56,0
9,TOH,4th instar,56,1
10,TOH,4th instar,56,1
11,TOH,unknown,56,1
12,TOH,unknown,56,1
13,TOH,unknown,56,1
14,TOH,unknown,56,1
15,TOH,unknown,56,1
16,TOH,unknown,56,1
17,TOH,unknown,56,1
18,TOH,unknown,56,1
19,TOH,unknown,56,1
20,TOH,unknown,56,1
21,TOH,unknown,56,1
22,TOH,unknown,56,1
23,TOH,1st instar,56,1
24,TOH,1st instar,56,1
25,TOH,1st instar,56,1
26,TOH,1st instar,56,1
27,TOH,1st instar,56,1
28,TOH,1st instar,56,1
29,TOH,1st instar,56,1
30,TOH,1st instar,56,1
1,TOH,3rd instar,63,0
2,TOH,3rd instar,63,0
3,TOH,3rd instar,63,0
4,TOH,3rd instar,63,0
5,TOH,3rd instar,63,0
6,TOH,4th instar,63,0
7,TOH,4th instar,63,0
8,TOH,4th instar,63,0
9,TOH,4th instar,63,1
10,TOH,4th instar,63,1
11,TOH,unknown,63,1
